Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
KRATOVO,,	2021-11-17,,Operational,Silent,Land (fixed),0-807-0-13491|primary,Europe,,"North Macedonia, Republic of",42.079333,22.175741,640,From map,,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2023-01-21,Aleksandar Karanfilovski
KRIVA PALANKA,,	1945-09-20,,Operational,Partly operational,Land (fixed),0-20000-0-13493|primary,Europe,,"North Macedonia, Republic of",42.20358,22.331227,690,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Dry winter - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,A flat at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2023-01-15,Aleksandar Karanfilovski
KRUSEVO,,	1945-04-01,,Operational,Operational,Land (fixed),0-20000-0-13582|primary,Europe,,"North Macedonia, Republic of",41.3666666667,21.25,,,,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2019-12-18,Aleksandar Karanfilovski
KUMANOVO,,	1945-03-01,,Operational,Operational,Land (fixed),0-20000-0-13589|primary,Europe,,"North Macedonia, Republic of",42.1333333333,21.7166666667,338,,,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2019-12-18,Aleksandar Karanfilovski
LAZAROPOLE,,	1948-04-01,,Operational,Unknown,Land (fixed),0-20000-0-13577|primary,Europe,,"North Macedonia, Republic of",41.53737,20.69581,1331.8,GPS,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed",	2023-01-19,Aleksandar Karanfilovski
Lazaropole,,	1978-01-01,,Partly operational,Unknown,Land (fixed),0-20008-0-LZP|primary,Europe,,"North Macedonia, Republic of",41.8,20.69596,1335.8,From map,UTC+1,,,,"Lazaropole station is located in the west part of Macedonia close to the Albania border in a pristine, non-polluted part of the country. It is situated on a hill of about 1300m a.s.l. surrounded by mountains of 1400-1600 m a.s.l. The surrounding area is grassland, farmland and coniferous-deciduous forest . The area is scarcely populated only 2-3 months in summer, without polluting and non-industrialized.There are no local emission sources,particularly in distance of about 100 km from the site. Location is also away from ditect near-by emission sources. Lazaropole has a long history of meteorological and climatological observations (since 1949) and is well-known location in this part of Europe.",Warm temperate - Dry and hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"EMEP:Partly operational, GAW Regional:Partly operational",	2019-10-16,Aleksandar Karanfilovski
MAVROVO,,	1951-06-01,,Operational,Operational,Land (fixed),0-20000-0-13576|primary,Europe,,"North Macedonia, Republic of",41.7,20.75,1281,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Cool summer,,,,,"GBON, GOS General:Operational",	2023-01-15,Aleksandar Karanfilovski
OHRID,,	1945-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13578|primary,Europe,,"North Macedonia, Republic of",41.1166666667,20.8,758,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2023-01-15,Aleksandar Karanfilovski
OHRID-AERODROME,,	2001-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13579|primary,Europe,,"North Macedonia, Republic of",41.18,20.7394,705,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of middle altitude,,GOS General:Operational,	2022-11-28,Aleksandar Karanfilovski
POPOVA SAPKA,,	1983-09-12,,Operational,Operational,Land (fixed),0-20000-0-13492|primary,Europe,,"North Macedonia, Republic of",42.01587,20.8830555556,1784,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,"GBON:Operational, GOS General:Operational",	2023-01-19,Aleksandar Karanfilovski
