Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
"FALKENBERG,KR.ROTTAL-INN (SECONDARY)",,	1936-06-09,,Operational,Unknown,Land (fixed),0-276-3-1332|primary,Europe,,Germany,48.483155,12.724136,471,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,17|520,GOS General:Operational,	2024-08-12,Silvia Kothe
FASSBERG,,	1958-11-01,,Operational,Operational,Land (fixed),0-20000-0-10246|primary,Europe,,Germany,52.915651,10.188503,76.2,Survey,UTC+1,Geoinformation Service of the German Armed Forces,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,12|735,GOS General:Operational,	2024-03-25,Marc Kinkeldey
FEHMARN,,	1941-01-01,,Operational,Operational,Land (fixed),0-20000-0-10055|primary,Europe,,Germany,54.528292,11.060556,3.21,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks:. AUT;C;CLIMAT(C);M/B;RADSAMP;RBCN;RBSN(S);SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radioactive sampling; Sky radiation measurements; Snow survey; Total radiation measuremen,,(unknown)(Surface cover types (IGBP)),,A flat (inapplicable) relative elevation within plains of very low altitude,2|108,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-06-28,Silvia Kothe
FELDBERG/MECKLENBURG,,	2005-09-01,,Operational,Operational,Land (fixed),0-20000-0-10282|primary,Europe,,Germany,53.317622,13.417485,115.35,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks.: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,5|321,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-03,Silvia Kothe
FELDBERG/SCHWARZWALD,,	1925-05-01,,Operational,Operational,Land (fixed),0-20000-0-10908|primary,Europe,,Germany,47.874842,8.003793,1486.07,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M;M/B;RBCN;RSD;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection; Sky radiation measurements; Snow survey; Total ra,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at highest relative elevation within rises of middle altitude,18|1298,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, WRO:Operational",	2024-08-09,Silvia Kothe
FEUCHTWANGEN-HEILBRONN,,	2005-11-01,,Operational,Operational,Land (fixed),0-20000-0-10756|primary,Europe,,Germany,49.162297,10.366126,475.06,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,28|896,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
FICHTELB./OFR-HUETTSTADL (SECONDARY),,	1936-01-01,,Operational,Unknown,Land (fixed),0-276-3-1357|primary,Europe,,Germany,49.980702,11.837601,654.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,16|560,GOS General:Operational,	2024-08-14,Silvia Kothe
FICHTELBERG,,	1890-08-01,,Operational,Operational,Land (fixed),0-20000-0-10578|primary,Europe,,Germany,50.428295,12.953583,1213,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Cool summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within hills of middle altitude,10|942,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-09,Silvia Kothe
FRANKFURT/MAIN,,	1935-07-01,,Operational,Operational,Land (fixed),0-20000-0-10637|primary,Europe,,Germany,50.025911,8.521294,99.7,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),"Open (Open flat terrain; grass, few isolated obstacles)",(unknown) at low relative elevation within hollows of low altitude,304|4395,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-02,Silvia Kothe
FRANKFURT/MAIN-WESTEND (SECONDARY),,	1985-01-01,,Operational,Silent,Land (fixed),0-276-3-1424|primary,Europe,,Germany,50.126877,8.669396,120.78,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),Chaotic (City centre with high and low-rise buildings),(unknown) at low relative elevation within rises of low altitude,302|4391,GOS General:Operational,	2024-05-21,Marc Kinkeldey
FREIBURG/BREISGAU,,	1868-01-01,,Operational,Operational,Land (fixed),0-20000-0-10803|primary,Europe,,Germany,48.023242,7.834292,236.46,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;PH;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of middle altitude,292|1203,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-21,Marc Kinkeldey
FREUDENBERG/MAIN-BOXTAL(SECONDARY),,	2004-08-04,,Operational,Unknown,Land (fixed),0-276-3-7187|primary,Europe,,Germany,49.763628,9.406294,193.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,GOS General:Operational,	2024-07-17,Silvia Kothe
FREUDENSTADT,,	1948-04-15,,Operational,Operational,Land (fixed),0-20000-0-10815|primary,Europe,,Germany,48.453828,8.408952,796.54,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,50|1796,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-03,Silvia Kothe
FRIEDRICHSHAFEN-UNTERRAD.(SECONDARY),,	2000-05-10,,Operational,Unknown,Land (fixed),0-276-3-6258|primary,Europe,,Germany,47.684486,9.440903,461,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,GOS General:Operational,	2024-07-17,Silvia Kothe
FRIESOYTHE-ALTENOYTHE,,	1927-03-01,,Operational,Operational,Land (fixed),0-20000-0-10210|primary,Europe,,Germany,53.064301,7.901969,5.73,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,34|1188,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-26,Silvia Kothe
FRITZLAR/EDER,,	1958-01-17,,Operational,Operational,Land (fixed),0-20000-0-10439|primary,Europe,,Germany,51.119006,9.279894,172,Survey,UTC+1,Geoinformation Service of the German Armed Forces,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of low altitude,49|1141,GOS General:Operational,	2024-03-25,Marc Kinkeldey
FUERSTENZELL,,	1997-01-03,,Operational,Operational,Land (fixed),0-20000-0-10895|primary,Europe,,Germany,48.545114,13.353159,476.4,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;PH;RADSAMP;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations; Radioactive sampling; Sky radiation measurements; Snow survey; Total radia,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,64|558,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
FULDA-HORAS (SECONDARY),,	1866-12-01,,Operational,Silent,Land (fixed),0-276-3-1526|primary,Europe,,Germany,50.566786,9.653221,245,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,110|809,GOS General:Operational,	2024-03-26,Silvia Kothe
GARDELEGEN,,	1871-01-01,,Operational,Operational,Land (fixed),0-20000-0-10359|primary,Europe,,Germany,52.512889,11.394174,47,From map,UTC+1,German Meteorological Service,,,recognized as a long-term observing Station by the World Meteorological Organization in February 2023 for more than 100 years of meteorological observations,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,17|807,"CLIMAT(C) - deprecated:Closed, Centennial Observing Stations:Operational, GCW affiliated station:Operational, GOS General:Operational",	2024-06-03,Silvia Kothe
GARMISCH-PARTENKIRCHEN,,	1887-01-01,,Operational,Operational,Land (fixed),0-20000-0-10963|primary,Europe,,Germany,47.482989,11.062126,719.25,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RADSAMP;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radioactive sampling; Sky radiation measurements; Snow survey; Total radiation measurements.,Polar - Tundra,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,34|355,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-26,Silvia Kothe
GEILENKIRCHEN-NEUTEVERN,,	1982-12-01,,Operational,Operational,Land (fixed),0-20000-0-10500|primary,Europe,,Germany,50.959253,6.039191,79.6,,UTC+1,Geoinformation Service of the German Armed Forces,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;IRREG.;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,A flat at middle relative elevation within rises of very low altitude,,GOS General:Operational,	2024-04-04,Silvia Kothe
GEISENHEIM,,	1884-07-01,,Operational,Partly operational,Land (fixed),0-20000-0-10628|primary,Europe,,Germany,49.985894,7.95482,111.15,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),(unknown),(unknown) at low relative elevation within hills of low altitude,109|2577,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-16,Silvia Kothe
GEISINGEN (SECONDARY),,	1936-12-14,,Operational,Unknown,Land (fixed),0-276-3-1584|primary,Europe,,Germany,47.924175,8.647358,673,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,24|1118,GOS General:Operational,	2024-05-29,Silvia Kothe
GELBELSEE,,	1979-01-01,,Operational,Operational,Land (fixed),0-20000-0-10777|primary,Europe,,Germany,48.948116,11.428929,536,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,19|1078,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-03,Silvia Kothe
GENTHIN,,	1897-05-01,,Operational,Operational,Land (fixed),0-20000-0-10365|primary,Europe,,Germany,52.387511,12.160174,35,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of very low altitude,17|667,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-20,Marc Kinkeldey
GERA-LEUMNITZ,,	1900-06-14,,Operational,Operational,Land (fixed),0-20000-0-10567|primary,Europe,,Germany,50.881208,12.128885,310.72,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,115|1632,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-02,Silvia Kothe
GERINGSWALDE (SECONDARY),,	1883-03-01,,Operational,Silent,Land (fixed),0-276-3-131|primary,Europe,,Germany,51.088078,12.932593,295.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,43|1863,GOS General:Operational,	2024-05-29,Marc Kinkeldey
GEVELSBERG-OBERBROEKING (SECONDARY),,	2007-08-01,,Operational,Unknown,Land (fixed),0-276-3-13700|primary,Europe,,Germany,51.332887,7.341174,203,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of low altitude,,GOS General:Operational,	2024-08-07,Marc Kinkeldey
GIESSEN-WETTENBERG,,	1844-01-01,,Operational,Operational,Land (fixed),0-20000-0-10532|primary,Europe,,Germany,50.601715,8.643898,203.2,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RAD;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radiation measurements.,Warm Temperate - Fully humid - Warm summer,Cropland/Natural vegetation mosaic(Surface cover types (IGBP)),,A flat at high relative elevation within hollows of low altitude,175|1874,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-16,Silvia Kothe
GILSERBERG-MOISCHEID (SECONDARY),,	1908-07-01,,Operational,Unknown,Land (fixed),0-276-3-1645|primary,Europe,,Germany,50.965565,9.050014,327,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,17|1135,GOS General:Operational,	2024-03-27,Silvia Kothe
GLUECKSBURG-MEIERWIK,,	1979-01-01,,Operational,Operational,Land (fixed),0-20000-0-10033|primary,Europe,,Germany,54.827332,9.505784,11.72,Survey,UTC+1,Geoinformation Service of the German Armed Forces,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SEATEMP;SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,105|421,GOS General:Operational,	2024-03-25,Marc Kinkeldey
GOERLITZ,,	1858-01-01,,Operational,Operational,Land (fixed),0-20000-0-10499|primary,Europe,,Germany,51.162129,14.950606,238.48,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within hills of low altitude,115|390,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-26,Silvia Kothe
GOETTINGEN,,	1779-11-08,,Operational,Operational,Land (fixed),0-20000-0-10444|primary,Europe,,Germany,51.500248,9.950659,167.42,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Cool summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,144|1267,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-16,Silvia Kothe
GOLDBERG,,	1888-01-01,,Operational,Operational,Land (fixed),0-20000-0-10168|primary,Europe,,Germany,53.605834,12.103404,58.65,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,8|422,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-20,Marc Kinkeldey
GOTTFRIEDING,,	2006-03-01,,Operational,Partly operational,Land (fixed),0-20000-0-10872|primary,Europe,,Germany,48.659461,12.538816,350.47,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,41|973,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-09,Marc Kinkeldey
GRAEFENBERG-KASBERG (SECONDARY),,	1990-08-01,,Operational,Unknown,Land (fixed),0-276-3-1721|primary,Europe,,Germany,49.66399,11.223886,505.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,GOS General:Operational,	2024-08-20,Silvia Kothe
GRAINET-REHBERG (SECONDARY),,	1995-11-16,,Operational,Unknown,Land (fixed),0-276-3-1735|primary,Europe,,Germany,48.78935,13.629026,628,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,GOS General:Operational,	2024-08-20,Silvia Kothe
GRAMBOW-SCHWENNENZ (SECONDARY),,	1998-10-01,,Operational,Silent,Land (fixed),0-276-3-6109|primary,Europe,,Germany,53.383698,14.372801,51.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,3|164,GOS General:Operational,	2024-03-13,Marc Kinkeldey
GREIFSWALD,,	1898-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-10184|primary,Europe,,Germany,54.096704,13.405565,2,From map,UTC+1,German Meteorological Service,,,recognized as a long-term observing Station by the World Meteorological Organization in February 2023 for more than 100 years of meteorological observations,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of very low altitude,66|381,"CLIMAT(C) - deprecated:Closed, Centennial Observing Stations:Operational, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2024-08-16,Silvia Kothe
GREIFSWALDER OIE,,	1934-03-01,,Operational,Operational,Land (fixed),0-20000-0-10097|primary,Europe,,Germany,54.24373,13.910203,11.56,From map,UTC+1,German Meteorological Service,,,"The station was originally registered based on WMO Pub 9 Vol A, information containing these observation remarks: AUT;C;CLIMAT(C);M/B;SEATEMP;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.",Warm Temperate - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within plains of very low altitude,0|47,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
GROSSENKNETEN (SECONDARY),,	1945-08-01,,Operational,Unknown,Land (fixed),0-276-3-44|primary,Europe,,Germany,52.933593,8.237018,44,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,19|1685,GOS General:Operational,	2024-03-06,Silvia Kothe
GROSSER ARBER,,	1982-11-01,,Operational,Operational,Land (fixed),0-20000-0-10791|primary,Europe,,Germany,49.112887,13.133791,1436,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),"Open (Open flat terrain; grass, few isolated obstacles)",(unknown) at highest relative elevation within hills of middle altitude,11|467,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2024-06-07,Silvia Kothe
GRUENDAU-BREITENBORN (SECONDARY),,	1888-12-01,,Operational,Unknown,Land (fixed),0-276-3-1863|primary,Europe,,Germany,50.266701,9.185383,258,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,77|2816,GOS General:Operational,	2024-03-28,Silvia Kothe
GRUENOW,,	1967-05-01,,Operational,Operational,Land (fixed),0-20000-0-10289|primary,Europe,,Germany,53.315357,13.933856,55.9,From map,UTC+1,German Meteorological Service,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;METAR;NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF 6,7 & JOURS FERIES;ON/LE 5;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.",Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),"Open (Open flat terrain; grass, few isolated obstacles)",(unknown) at middle relative elevation within hollows of very low altitude,22|254,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-18,Marc Kinkeldey
