Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
KRAPINA,,	1995-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14234|primary,Europe,,Croatia,46.1377777778,15.8883333333,202,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
KRIZEVCI,,	1998-01-01,,Operational,Operational,Land (fixed),0-20000-0-14248|primary,Europe,,Croatia,46.0288888889,16.5536111111,157,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;EVAP;PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
Kopacki Rit,,	2012-10-26,,Operational,Silent,Land (fixed),0-191-0-14282|primary,Europe,,Croatia,45.6975,18.833056,83,,UTC+1,Meteorological and Hydrological Service of Croatia,,,,Warm Temperate - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,,GOS General:Operational,	2021-07-28,Ines SRZIC
LASTOVO,,	1983-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14452|primary,Europe,,Croatia,42.7683333333,16.9,186,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
MAKARSKA,,	1994-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14454|primary,Europe,,Croatia,43.2875,17.0197222222,49,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
MALI LOSINJ,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14314|primary,Europe,,Croatia,44.5325,14.4719444444,53,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
OGULIN,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-14328|primary,Europe,,Croatia,45.2627777778,15.2222222222,328,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
OSIJEK-CEPIN,,	2003-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14280|primary,Europe,,Croatia,45.5025,18.5613888889,89,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
OSIJEK/KLISA,,,,Operational,Partly operational,Land (fixed),0-20000-0-14284|primary,Europe,,Croatia,45.4677777778,18.8063888889,89,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
PALAGRUZA,,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14443|primary,Europe,,Croatia,42.3922222222,16.2430555556,97,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: LH;SEA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,GOS General:Operational,	2016-04-28,
