Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
GRACIOSA/AERODROMO,"Graciosa / Aeródromo,Santa Cruz / Graciosa",	2002-05-08,,Operational,Operational,Land (fixed),0-620-2001-08507|primary,Europe,,Portugal,39.091314,-28.029944,25,From map,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of very low altitude,,"GBON:Operational, GOS General:Operational",	2023-03-21,Luis Filipe Nunes
HORTA (ACORES),Horta / Observatório Príncipe Alberto do Mónaco,	1901-01-01,,Operational,Partly operational,Land (fixed),"0-620-2001-08506|primary,0-20000-0-08506",Europe,,Portugal,38.52977198,-28.62863462,55.41,GPS,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GSN;RBCN;SEA/SWELL;SEISMO;SOILTEMP;SUNDUR;TIDE;VOLCANO (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations; Seismological observations; Volcanic eruption observations.,Warm temperate - Dry and warm summer,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2023-03-10,Manuel Mendes
HORTA/CASTELO BRANCO (ACORES),Horta / Aeródromo,	1972-07-02,,Operational,Operational,Land (fixed),"0-620-2001-08505|primary,0-20000-0-08505,0-620-1001-08505",Europe,,Portugal,38.52114232,-28.71283894,40.62,GPS,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;M/B;METAR;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
LAJES (ACORES) (8508-0),Terceira / Lajes RS,	1988-01-01,,Operational,Partly operational,Land (fixed),"0-620-3001-08508|primary,0-20000-0-08508",Europe,,Portugal,38.76783,-27.08716,72,,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GUAN;RBSN(T);SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,,,,,"GOS General:Operational, GUAN:Operational, RBON:Operational, RBSN(T) - deprecated:Closed",	2023-07-17,Ricardo João Ratola Capela Deus
LAJES (ACORES) (8509-0),Lajes B.A.,	1949-01-01,,Operational,Operational,Land (fixed),"0-620-1003-08509|primary,0-20000-0-08509",Europe,,Portugal,38.76972,-27.09583,52,From map,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);M/B;METAR;RBCN;RBSN(S);RECCO;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-11-27,Manuel Mendes
LISBOA/GAGO COUTINHO,,	1967-01-01,,Operational,Partly operational,Land (fixed),"0-620-2001-08579|primary,0-20000-0-08579",Europe,,Portugal,38.76617424,-9.12750152,103.88,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;NOCTRA;OZONE;RADSAMP;RBSN(ST);SOILTEMP;SOLRA;SUNDUR;TOTRA;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Nocturnal radiation measurements; Ozone observations; Radioactive sampling; Solar radiation measurements;,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of very low altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-03-10,Manuel Mendes
LISBOA/GEOFISICO,Lisboa / Geofísico,	1836-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08535|primary,0-20000-0-08535",Europe,,Portugal,38.719078,-9.149722,77,From map,UTC,Instituto Portugues do Mar e Atmosfera,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF LES 6,7 & JOURS FERIES*;RBCN;SEISMO;SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Seismological observations; Sky radiation measurements; Solar radiation measuremen",Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2023-03-10,Manuel Mendes
LISBOA/PORTELA,Lisboa / Aeródromo,	1947-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08536|primary,0-20000-0-08536",Europe,,Portugal,38.78914961,-9.13518651,103,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;M/B;METAR;RSD;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of very low altitude,,"GBON:Operational, GOS General:Operational",	2023-12-05,Manuel Mendes
"LOULE, CAVALOS DO CALDEIRAO",L/CC,	2005-01-05,,Operational,Unknown,Land (fixed),"0-620-3401-08553|primary,0-20000-0-08553",Europe,,Portugal,37.30534,-7.95174,616,,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within hills of middle altitude,,"GOS General:Operational, WRO:Operational",	2021-05-27,Sérgio Barbosa
LPCS (CASCAIS AERODROME),,,,Operational,Unknown,Land (fixed),0-20000-0-08578|primary,Europe,,Portugal,38.7255555556,-9.3552777778,99,,,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;M/B;METAR;RSD;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
MONTE REAL,Monte Real B.A.,	1987-01-01,,Operational,Partly operational,Land (fixed),"0-620-1003-08540|primary,0-20000-0-08540",Europe,,Portugal,39.82806,-8.88286,52,From map,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and warm summer,,,,,"GBON:Operational, GOS General:Operational",	2023-12-05,Manuel Mendes
MONTIJO,Montijo B.A.,	1980-01-01,,Operational,Partly operational,Land (fixed),"0-620-1003-08534|primary,0-20000-0-08534",Europe,,Portugal,38.71411,-9.02473,14,,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,,,,,"GBON:Operational, GOS General:Operational",	2023-12-05,Manuel Mendes
OTA,Ota B.A.,	1987-01-01,,Operational,Unknown,Land (fixed),"0-620-1003-08539|primary,0-20000-0-08539",Europe,,Portugal,39.11667,-8.98333,41,,,Instituto Portugues do Mar e Atmosfera,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF LES 6,7 & JOURS FERIES* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.",Warm temperate - Dry and warm summer,,,,,GOS General:Operational,	2020-11-17,Ricardo João Ratola Capela Deus
OVAR/MACEDA,Ovar B.A.,	1990-06-01,,Operational,Operational,Land (fixed),"0-620-1003-08544|primary,0-20000-0-08544",Europe,,Portugal,40.91584,-8.64119,17,,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and warm summer,,,,,GOS General:Operational,	2023-12-05,Manuel Mendes
PENHAS DOURADAS,Penhas Douradas / Observatório,	1904-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08568|primary,0-20000-0-08568",Europe,,Portugal,40.411367,-7.558653,1380,From map,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GAMMA RAY;GAW;M;OZONE;RADSAMP;SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Ozone observations; Radioactive sampling; Sky radiation measurements; Solar radiation measurements; Total radiation m,Warm temperate - Dry and warm summer,Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2023-06-02,Ricardo João Ratola Capela Deus
PICO/AERODROMO,Pico / Aeródromo,	2002-05-11,,Operational,Operational,Land (fixed),"0-620-2001-08504|primary,0-620-2001-0504",Europe,,Portugal,38.55153098,-28.44332442,38.56,GPS,UTC-1,Instituto Portugues do Mar e Atmosfera,,,,Warm temperate - Dry and warm summer,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of low altitude,,"GBON:Operational, GOS General:Operational",	2022-06-06,Manuel Mendes
PONTA DELGADA,,	1865-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-08514|primary,Europe,,Portugal,37.7402777778,-25.6983333333,,,,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CTBTO (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CTBTO:Operational, GBON:Operational, GOS General:Operational",	2016-04-28,
PONTA DELGADA/NORDELA (ACORES),Ponta Delgada / Nordela,	1865-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08512|primary,0-20000-0-08512",Europe,,Portugal,37.74418,-25.707954,75.68,GPS,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;M/B;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm temperate - Dry and warm summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-10-20,Manuel Mendes
PONTA DELGADA/OBS. (ACORES),Ponta Delgada / Observatório Afonso Chaves,	1960-01-01,,Operational,Operational,Land (fixed),"0-620-2101-08513|primary,0-20000-0-08513",Europe,,Portugal,37.746593,-25.662619,34.31,GPS,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;MAGNET;RADSAMP;SEATEMP{002};SEISMO;SOILTEMP;SUNDUR;TIDE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Seismological observations.,Warm temperate - Dry and warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,GOS General:Operational,	2023-10-20,Manuel Mendes
PORTALEGRE,,	1960-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08571|primary,0-20000-0-08571",Europe,,Portugal,39.29419,-7.421202,596.57,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GAMMA RAY;RADSAMP;SEISMO;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Seismological observations.,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,"GBON:Operational, GOS General:Operational",	2023-03-10,Manuel Mendes
PORTO/PEDRAS RUBRAS,Porto / Aeródromo,	1949-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08545|primary,0-20000-0-08545,0-620-2001-08454",Europe,,Portugal,41.23222708,-8.67912964,67.73,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;M/B;METAR;RBSN(S);SEA/SWELL{002};SEATEMP{002};SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sea and swell observations.,Warm temperate - Dry and warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
PORTO/SERRA DO PILAR,Serra do Pilar,	1859-12-01,,Operational,Operational,Land (fixed),"0-620-2401-08546|primary,0-20000-0-08546,0-620-2001-08546",Europe,,Portugal,41.1384250639,-8.6025570861,94.81,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GAMMA RAY;PH;RADSAMP;RBCN;SEISMO;SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Phenological observations; Radioactive sampling; Seismological observations; Sky radiation measurem,Warm temperate - Dry and warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2024-07-03,Manuel Mendes
