Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BANTIGER,,	1992-12-17,,Operational,Unknown,Land (fixed),0-20000-0-06634|primary,Europe,,Switzerland,46.977806,7.528664,941.5,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BAN,,,,,,,135|1100,GOS General:Operational,	2019-06-04,CHE NMHS 
BARGEN,,,,Operational,Unknown,Land (fixed),0-20000-0-06622|primary,Europe,,Switzerland,47.7975,8.5944444444,740,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
BASEL / BINNINGEN,,	1755-01-01,,Operational,Operational,Land (fixed),0-20000-0-06601|primary,Europe,,Switzerland,47.541136,7.583519,316.17,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BAS,,,,,,,346|1510,"GBON:Operational, GOS General:Operational, Non-affiliated:Operational, RBCN - deprecated:Closed, RBON:Operational",	2019-06-04,CHE NMHS 
BERGUEN / LATSCH,,	1892-01-14,,Operational,Operational,Land (fixed),0-20000-0-06642|primary,Europe,,Switzerland,46.627278,9.753694,1407.85,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=LAT,,,,,,,2|150,GOS General:Operational,	2019-06-04,CHE NMHS 
BERN / BOLLWERK,,	1991-02-26,,Operational,Unknown,Land (fixed),0-20000-0-06901|primary,Europe,,Switzerland,46.950947,7.440436,535.8,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,http://www.meteoswiss.ch,,,,,,,210|1080,GOS General:Operational,	2019-06-04,CHE NMHS 
BERN / ZOLLIKOFEN,,	1863-12-01,,Operational,Operational,Land (fixed),0-20000-0-06631|primary,Europe,,Switzerland,46.990744,7.464061,552.84,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BER,,,,,,,168|1120,"GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2019-06-04,CHE NMHS 
BERN-BELPMOOS,,,,Operational,Unknown,Land (fixed),0-20000-0-06630|primary,Europe,,Switzerland,46.9061111111,7.5052777778,510,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"Ceilometers, GOS General:Operational",	2023-02-28,CHE NMHS 
BEROMUENSTER,,	2017-03-14,,Operational,Unknown,Land (fixed),0-20000-0-06910|primary,Europe,,Switzerland,47.189583,8.175461,797,GPS,UTC+1,Federal Office of Meteorology and Climatology MeteoSwiss,http://www.meteoswiss.ch,,,,,,,,"EMEP:Operational, GAW Regional, GOS General:Operational",	2021-06-10,Christoph Hüglin
BEZNAU,,	1981-01-01,,Operational,Operational,Land (fixed),0-20000-0-06646|primary,Europe,,Switzerland,47.557256,8.233311,325.57,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BEZ,,,,,,,57|1670,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
BIASCA,,	1882-12-01,,Operational,Operational,Land (fixed),0-756-0-BIA|primary,Europe,,Switzerland,46.336122,8.978394,278,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BIA,,,,,,,10|340,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
BIEL,,,,Operational,Unknown,Land (fixed),0-20000-0-06607|primary,Europe,,Switzerland,47.1202777778,7.2575,433,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
BIERE,,	1883-01-01,,Operational,Operational,Land (fixed),0-20000-0-06704|primary,Europe,,Switzerland,46.524906,6.342392,683.64,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BIE,,,,,,,21|1130,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
BINN,,	1899-08-01,,Operational,Operational,Land (fixed),0-20000-0-06721|primary,Europe,,Switzerland,46.367667,8.192306,1479,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BIN,,,,,,,2|130,GOS General:Operational,	2019-06-04,CHE NMHS 
BISCHOFSZELL / SITTERDORF,BISCHOFSZELL,	1879-06-07,,Operational,Operational,Land (fixed),0-20000-0-06678|primary,Europe,,Switzerland,47.50882778,9.266797222,507,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BIZ,,,,,,,51|1040,"GBON:Operational, GOS General:Operational",	2021-11-08,Franziska Stürzl
BIVIO,,	1864-01-01,,Operational,Operational,Land (fixed),0-20000-0-06774|primary,Europe,,Switzerland,46.4625,9.668625,1856,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BIV,,,,,,,2|200,GOS General:Operational,	2019-06-04,CHE NMHS 
"BLATTEN, LOETSCHENTAL",,	2000-08-17,,Operational,Operational,Land (fixed),0-20000-0-06725|primary,Europe,,Switzerland,46.420453,7.823197,1538,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BLA,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
BOLTIGEN,,	1981-05-19,,Operational,Operational,Land (fixed),0-20000-0-06733|primary,Europe,,Switzerland,46.623522,7.384208,820,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BOL,,,,,,,4|770,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
BOUVERET,,	1993-09-14,,Operational,Operational,Land (fixed),0-20000-0-06709|primary,Europe,,Switzerland,46.393444,6.857011,374,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BOU,,,,,,,43|690,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
BRIENZ,,	1899-08-01,,Operational,Operational,Land (fixed),0-20000-0-06656|primary,Europe,,Switzerland,46.740722,8.060858,567.15,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BRZ,,,,,,,9|360,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
BUCHS / AARAU,,	1984-05-22,,Operational,Operational,Land (fixed),0-20000-0-06633|primary,Europe,,Switzerland,47.384381,8.079539,386.66,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BUS,,,,,,,92|1420,"Ceilometers, GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2023-02-28,CHE NMHS 
