station_name ,wigos_station_identifier,traditional_station_identifier ,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region,Last updated by,Declared reporting status,Assessed reporting status
Debrecen Kismacs,0-348-1-64310,64310,Land (fixed),47.57666,21.5825,125,,Hungary,6,Imre Szöllősi,Operational,Unknown
Debrecen repülőtér,"0-348-1-64711,0-20000-0-12882",12882,Land (fixed),47.4844444,21.6055556,106.6,,Hungary,6,Imre Szöllősi,Operational,Operational
Debrecen repülőtér (észak),0-348-1-64710,64710,Land (fixed),47.49528,21.62361,106,,Hungary,6,HUN NMHS,Operational,Operational
DECIMOMANNU,0-20000-0-16546,16546,Land (fixed),39.3461111111,8.9675,29,,Italy,6,Piero Serra,Operational,Operational
DECIMOMANNU RDS,0-20001-0-16546,16546,Land (fixed),39.3461111111,8.9675,29,,Italy,6,,Operational,Operational
DELEMONT,0-20000-0-06602,06602,Land (fixed),47.351703,7.349561,439,,Switzerland,6,CHE NMHS ,Operational,Operational
DELLACH IM DRAUTAL,0-20000-0-11270,11270,Land (fixed),46.7419433594,13.082777977,628,,Austria,6,AUT NMHS,Operational,Operational
DELLYS,0-12-0-35BOUCN60387,60387,Land (fixed),36.89671,3.95527,6,,Algeria,1,Mohamed Mezred,Operational,Operational
DEMIR KAPIJA,0-20000-0-13592,13592,Land (fixed),41.409335,22.237293,126,,"North Macedonia, Republic of",6,Aleksandar Karanfilovski,Operational,Operational
Derecske Petőfi major,0-348-1-64713,64713,Land (fixed),47.36528,21.54972,97,,Hungary,6,HUN NMHS,Operational,Silent
DESENZANO,0-20000-0-16089,16089,Land (fixed),45.4644444444,10.5552777778,64,,Italy,6,Piero Serra,Operational,Operational
DEUTSCHLANDSBERG,0-20000-0-11285,11285,Land (fixed),46.8216667175,15.2269439697,354,,Austria,6,AUT NMHS,Operational,Operational
DIJON-LONGVIC,0-20000-0-07280,07280,Land (fixed),47.2677777778,5.0883333333,222,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
DISENTIS,0-20000-0-06782,06782,Land (fixed),46.706572,8.853472,1197.05,,Switzerland,6,CHE NMHS ,Operational,Operational
DJANET,0-20000-0-60670,60670,Land (fixed),24.28823,9.46766,968,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
DJELFA,0-20000-0-60535,60535,Land (fixed),34.65361,3.28138,1180,,Algeria,1,Mohamed Mezred,Operational,Operational
DJERBA MELLITA,0-20000-0-60769,60769,Land (fixed),33.8666666667,10.7666666667,3,,Tunisia,1,saoussen CHERIAA,Operational,Operational
DOBBIACO,0-20000-0-16033,16033,Land (fixed),46.73,12.22,1222,,Italy,6,Piero Serra,Operational,Operational
DOBOJ SYNOP,0-70-0-14551,14551,Land (fixed),44.72629,18.08904,143,,Bosnia and Herzegovina,6,Zeljko Ratkovic,Operational,Operational
DOELLACH,0-20000-0-11206,11206,Land (fixed),46.9580574036,12.9025001526,1071,,Austria,6,AUT NMHS,Operational,Operational
DOLE-TAVAUX,0-20000-0-07386,07386,Land (fixed),47.043833,5.427333,195,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
DON BENITO,0-724-0-0000000000008333,08333,Land (fixed),38.9555,-5.8804,273,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
DOÑA MENCIA,0-724-0-0000000000008412,08412,Land (fixed),37.5561,-4.3538,650,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
DORANS,0-20000-0-07296,07296,Land (fixed),47.591667,6.837,401,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
DORNBIRN,0-20000-0-11302,11302,Land (fixed),47.4324989319,9.7255554199,407,,Austria,6,AUT NMHS,Operational,Operational
Driouch,0-504-1-60182,60182,Land (fixed),34.9791,-3.39138,276,,Morocco,1,MAR NMHS ,Operational,Operational
DUBROVNIK/CILIPI,0-20000-0-14474,14474,Land (fixed),42.5627777778,18.27,157,,Croatia,6,Ines SRZIC,Operational,Operational
DUBROVNIK/GORICA,0-20000-0-14472,14472,Land (fixed),42.6447222222,18.085,52,,Croatia,6,,Operational,Operational
DUEBENDORF,0-20000-0-06807,06807,Land (fixed),47.401611,8.633708,435,,Switzerland,6,CHE NMHS ,Operational,Operational
DUEBENDORF / GIESSEN,0-20000-0-06904,06904,Land (fixed),47.402764,8.613594,432.2,,Switzerland,6,CHE NMHS ,Operational,Operational
DUMBRAVITA DE CODRU,0-20000-0-15138,15138,Land (fixed),46.6446237915,22.1712028507,586,,Romania,6,Ancuta MANEA,Operational,Operational
Dunaújváros,0-348-1-36407,36407,Land (fixed),46.95056,18.95222,146.7,,Hungary,6,HUN NMHS,Operational,Operational
DURRES,0-20000-0-13611,13611,Land (fixed),41.3,19.45,15,,Albania,6,,Operational,Operational
EBNAT-KAPPEL,0-20000-0-06693,06693,Land (fixed),47.273389,9.108486,623.2,,Switzerland,6,CHE NMHS ,Operational,Operational
ECIJA,0-724-0-0000000000008395,08395,Land (fixed),37.5162,-5.0851,130,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
Edessa,0-300-0-16618,16618,Land (fixed),40.8087,22.0409,314.83,,Greece,6,Nick KALAMARAS,Operational,Operational
EGGISHORN,0-20000-0-06739,06739,Land (fixed),46.426533,8.092728,2893,,Switzerland,6,CHE NMHS ,Operational,Operational
EGOLZWIL,0-20000-0-06648,06648,Land (fixed),47.179428,8.00475,521.9,,Switzerland,6,CHE NMHS ,Operational,Operational
EINSIEDELN,0-20000-0-06675,06675,Land (fixed),47.133042,8.756547,910.7,,Switzerland,6,CHE NMHS ,Operational,Operational
El Aioun Sidi Mellouk,0-504-1-60313,60313,Land (fixed),34.83083,-2.638333,977,,Morocco,1,MAR NMHS ,Operational,Operational
EL ARENOSILLO,0-724-0-0000000000008384,08384,Land (fixed),37.0981,-6.7381,41,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
EL BORMA,0-20000-0-60780,60780,Land (fixed),31.6833333333,9.3,258,,Tunisia,1,TUN NMHS,Operational,Operational
El Gara,0-504-1-60235,60235,Land (fixed),33.2666,-7.23333,371,,Morocco,1,MAR NMHS ,Operational,Operational
El Hajeb,0-504-1-60151,60151,Land (fixed),33.66667,-5.367222,1115,,Morocco,1,MAR NMHS ,Operational,Operational
EL HAMADA,0-20000-0-62121,62121,Land (fixed),29.5166666667,12.9333333333,,,Libya,1,Faraj M ZAYET,Operational,Operational
EL JADIDA,0-20000-0-60165,60165,Land (fixed),32.133333,-13.5501,25,,Morocco,1,Mounir Aziz,Operational,Operational
El Jebha,0-504-1-60159,60159,Land (fixed),32.20667,-4.665556,0,,Morocco,1,MAR NMHS ,Operational,Operational
EL KHOMS,0-20000-0-62012,62012,Land (fixed),32.66837,14.24072,25,,Libya,1,Faraj M ZAYET,Operational,Operational
El Ksiba,0-504-1-60232,60232,Land (fixed),32.0955,-6.01666,1080,,Morocco,1,MAR NMHS ,Operational,Operational
EL-BAYADH,0-20000-0-60550,60550,Land (fixed),33.71966,1.09484,1361,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
EL-GOLEA,0-20000-0-60590,60590,Land (fixed),30.57246,2.86803,397,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
EL-KHEITER,0-20000-0-60540,60540,Land (fixed),34.15444,0.06464,1000,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
EL-OUED,0-20000-0-60559,60559,Land (fixed),33.50618,6.78841,63,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
Elbrouj,0-504-1-60174,60174,Land (fixed),32.5055,-7.1905,430,,Morocco,1,MAR NMHS ,Operational,Operational
"ELGOIBAR,IBERDROLA",0-724-0-0000000000008036,08036,Land (fixed),43.2092,-2.4132,119,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
ELM,0-20000-0-06682,06682,Land (fixed),46.92375,9.175339,957.6,,Switzerland,6,CHE NMHS ,Operational,Operational
EMBRUN,0-20000-0-07591,07591,Land (fixed),44.5655555556,6.5022222222,871,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
EMMEN,0-20000-0-06805,06805,Land (fixed),47.084294,8.295964,426,,Switzerland,6,CHE NMHS ,Operational,Unknown
ENFIDHA,0-20000-0-60731,60731,Land (fixed),36.0666666667,10.45,,,Tunisia,1,TUN NMHS,Operational,Operational
ENGELBERG,0-20000-0-06655,06655,Land (fixed),46.821642,8.410506,1035.66,,Switzerland,6,CHE NMHS ,Operational,Operational
ENNA,0-20000-0-16450,16450,Land (fixed),37.5680555556,14.2797222222,1000,,Italy,6,Piero Serra,Operational,Operational
"ERISTE, REFUGIO ANGEL ORUS",0-724-100-0000000000008925,08925,Land (fixed),42.6274,0.4573,2150,,Spain,6,José Antonio Fernández Monistrol,Operational,Unknown
Errachidia,0-20000-0-60210,60210,Land (fixed),31.9333333333,-4.4,1037,,Morocco,1,Mounir Aziz,Operational,Operational
Errich,0-504-1-60154,60154,Land (fixed),32.25,-4.5,1328,,Morocco,1,MAR NMHS ,Operational,Operational
ESSAOUIRA,0-20000-0-60220,60220,Land (fixed),31.509988,-9.773452,7,,Morocco,1,Mounir Aziz,Operational,Operational
ESSAOUIRA AERODRME,0-504-0-60222,60222,Land (fixed),31.4011,-9.6833,105.5,,Morocco,1,MAR NMHS ,Operational,Operational
ESSBEEA,0-434-0-62009,62009,Land (fixed),32.3227,13.1018,126.4,,Libya,1,Faraj M ZAYET,Operational,Operational
ESTACA DE BARES,0-724-0-0000000000008004,08004,Land (fixed),43.786111,-7.684722,80,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
ESTEPONA,0-724-0-0000000000008463,08463,Land (fixed),36.4169,-5.1549,19,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
EVIONNAZ,0-20000-0-06715,06715,Land (fixed),46.18295,7.026756,482,,Switzerland,6,CHE NMHS ,Operational,Operational
EVOLENE / VILLA,0-20000-0-06722,06722,Land (fixed),46.112214,7.508639,1825,,Switzerland,6,CHE NMHS ,Operational,Operational
EVORA / C.C.,"0-620-2001-08558,0-20000-0-08558",08558,Land (fixed),38.53654394,-7.88797201,247.56,,Portugal,6,Manuel Mendes,Operational,Operational
FADA,0-20000-0-64757,64757,Land (fixed),17.1666666667,21.55,540,,Chad,1,,Operational,Operational
FAHY,0-20000-0-06616,06616,Land (fixed),47.423811,6.941189,596,,Switzerland,6,CHE NMHS ,Operational,Operational
FALCONARA,0-20000-0-16191,16191,Land (fixed),43.6166666667,13.3602777778,15,,Italy,6,Piero Serra,Operational,Operational
Fam El Hisn,0-504-1-60123,60123,Land (fixed),29.0117,-8.8967,479,,Morocco,1,MAR NMHS ,Operational,Operational
"FANLO, REFUGIO DE GORIZ",0-724-100-0000000000008926,08926,Land (fixed),42.6633,0.015,2200,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
FARO/AEROPORTO,"0-620-2001-08554,0-20000-0-08554",08554,Land (fixed),37.01659132,-7.97190801,5,,Portugal,6,Manuel Mendes,Operational,Operational
FAYA,0-20000-0-64753,64753,Land (fixed),18,19.1666666667,235,,Chad,1,Djergo GAYA,Operational,Operational
FEISTRITZ OB BLEIBURG,0-20000-0-11232,11232,Land (fixed),46.561389,14.765,523,,Austria,6,Silke Adler,Operational,Operational
Felcsút,0-348-1-34712,34712,Land (fixed),47.44944,18.5775,144.2,,Hungary,6,HUN NMHS,Operational,Operational
FELDBACH,0-20000-0-11298,11298,Land (fixed),46.948890686,15.8797225952,323,,Austria,6,Silke Adler,Operational,Operational
FELDKIRCH,0-20000-0-11105,11105,Land (fixed),47.2711105347,9.6097221375,438.4,,Austria,6,AUT NMHS,Operational,Unknown
FELDKIRCHEN (11227-0),0-20000-0-11227,11227,Land (fixed),46.7219429016,14.0969448089,546,,Austria,6,Silke Adler,Operational,Operational
FERRARA (16133-0),0-20000-0-16133,16133,Land (fixed),44.8152777778,11.6125,9,,Italy,6,Piero Serra,Operational,Operational
FERRARA (16138-0),0-20000-0-16138,16138,Land (fixed),44.8155555556,11.6125,8,,Italy,6,Piero Serra,Operational,Operational
FERROL-LA GRAÑA,0-724-0-0000000000008005,08005,Land (fixed),43.4763,-8.2622,4,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
FES-SAIS,0-20000-0-60141,60141,Land (fixed),33.9327,-4.975,571,,Morocco,1,Mounir Aziz,Operational,Operational
FIGARI,0-20000-0-07780,07780,Land (fixed),41.5052777778,9.1036111111,27,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Unknown
Figuig,0-504-1-60215,60215,Land (fixed),32.10905,-1.2283,879,,Morocco,1,MAR NMHS ,Operational,Operational
FIRENZE,0-20000-0-16171,16171,Land (fixed),43.7855555556,11.2158333333,17,,Italy,6,Piero Serra,Operational,Operational
FIRENZE PERETOLA,0-20000-0-16170,16170,Land (fixed),43.8086111111,11.2027777778,43,,Italy,6,Piero Serra,Operational,Operational
FISCHBACH,0-20000-0-11173,11173,Land (fixed),47.4441680908,15.6438884735,1034,,Austria,6,AUT NMHS,Operational,Unknown
FISTERRA,0-724-0-0000000000008040,08040,Land (fixed),42.9248,-9.2914,230,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
Fkih Ben Saleh,0-504-1-60181,60181,Land (fixed),32.5616,-6.6988,451,,Morocco,1,MAR NMHS ,Operational,Unknown
FLORINA,0-20000-0-16613,16613,Land (fixed),40.8047,21.4281,619.4,,Greece,6,Nick KALAMARAS,Operational,Operational
FLUEHLI,0-20000-0-06652,06652,Land (fixed),46.889436,8.020328,939.75,,Switzerland,6,CHE NMHS ,Operational,Operational
Fnideq,0-504-1-60103,60103,Land (fixed),35.8395,-5.3758,54,,Morocco,1,MAR NMHS ,Operational,Operational
Fonyód,0-348-1-26710,26710,Land (fixed),46.74917,17.5525,105.6,,Hungary,6,HUN NMHS,Operational,Unknown
FORLI,0-20000-0-16147,16147,Land (fixed),44.1955555556,12.0697222222,30,,Italy,6,Piero Serra,Operational,Unknown
FORMIGAL-SARRIOS,0-724-0-0000000000008096,08096,Land (fixed),42.7614,-0.3924,1800,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
FORTUNA,0-20000-0-08364,08364,Land (fixed),38.2644444444,-1.1897222222,1261,,Spain,6,,Operational,Unknown
Foum Zguid,0-504-1-60317,60317,Land (fixed),30.08805,-6.87472,700,,Morocco,1,MAR NMHS ,Operational,Operational
FRIBOURG / POSIEUX,0-20000-0-06625,06625,Land (fixed),46.7714,7.113739,650.6,,Switzerland,6,CHE NMHS ,Operational,Unknown
FRIESACH,0-20000-0-11228,11228,Land (fixed),46.9586105347,14.4058332443,640,,Austria,6,Silke Adler,Operational,Operational
FRONTONE,0-20000-0-16179,16179,Land (fixed),43.5169444444,12.7277777778,570,,Italy,6,Piero Serra,Operational,Operational
FROSINONE,0-20000-0-16244,16244,Land (fixed),41.645,13.2994444444,192.5,,Italy,6,Piero Serra,Operational,Operational
FRUTIGEN,0-20000-0-06613,06613,Land (fixed),46.599006,7.657542,756,,Switzerland,6,CHE NMHS ,Operational,Operational
FUCINO,0-20000-0-16227,16227,Land (fixed),41.9783333333,13.6052777778,649,,Italy,6,Piero Serra,Operational,Operational
FUENGIROLA,0-724-0-0000000000008480,08480,Land (fixed),36.5384,-4.6182,8,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
FUERTEVENTURA/AEROPUERTO,0-20000-0-60035,60035,Land (fixed),28.4447222222,-13.8630555556,25,,Spain,1,,Operational,Operational
Fülöpháza Hattyús-szék,0-348-1-46214,46214,Land (fixed),46.87111,19.42194,107.7,,Hungary,6,Imre Szöllősi,Operational,Operational
FURBARA,0-20000-0-16210,16210,Land (fixed),41.9969444444,12.0163888889,11,,Italy,6,,Operational,Operational
GABES,0-20000-0-60765,60765,Land (fixed),33.883389,10.10694,4,,Tunisia,1,saoussen CHERIAA,Operational,Unknown
GABES MATMATA,0-20000-0-60767,60767,Land (fixed),33.739444,9.9166666,120,,Tunisia,1,TUN NMHS,Operational,Operational
GACKO SYNOP,0-70-0-14655,14655,Land (fixed),43.16459,18.50949,939,,Bosnia and Herzegovina,6,Zeljko Ratkovic,Operational,Unknown
GAFSA,0-20000-0-60745,60745,Land (fixed),34.4166666667,8.8166666667,313,,Tunisia,1,TUN NMHS,Operational,Operational
GALLARATE,0-20000-0-16067,16067,Land (fixed),45.6477777778,8.8136111111,237,,Italy,6,,Operational,Operational
GALTUER,0-20000-0-11312,11312,Land (fixed),46.9680557251,10.1855554581,1587,,Austria,6,Silke Adler,Operational,Unknown
GALZIG,0-20000-0-11110,11110,Land (fixed),47.1297222222,10.2302777778,2079,,Austria,6,Silke Adler,Operational,Operational
GAMS,0-20000-0-06857,06857,Land (fixed),47.1977777778,9.4236111111,701,,Switzerland,6,,Operational,Operational
GAO,0-20000-0-61226,61226,Land (fixed),16.2666666667,-0.05,265,,Mali,1,Adama KONATE KONATE,Operational,Operational
GARADJEBILET,0-20000-0-60624,60624,Land (fixed),26.75,-7.25,400,,Algeria,1,,Operational,Operational
GARIAN,0-20000-0-62011,62011,Land (fixed),32.092,13.0043,728.9,,Libya,1,Faraj M ZAYET,Operational,Operational
GARIAT EL-SHARGHIA,0-20000-0-62120,62120,Land (fixed),30.3908333333,13.5852777777,497,,Libya,1,Mohan Abayasekara,Operational,Operational
GARMISCH-PARTENKIRCHEN,0-20000-0-10963,10963,Land (fixed),47.482989,11.062126,719.25,,Germany,6,Silvia Kothe,Operational,Operational
GELA,0-20000-0-16453,16453,Land (fixed),37.0763888889,14.225,58,,Italy,6,Piero Serra,Operational,Operational
GENEVE / COINTRIN,0-20000-0-06700,06700,Land (fixed),46.247517,6.12775,410.88,,Switzerland,6,CHE NMHS ,Operational,Operational
GENOVA,0-20000-0-16121,16121,Land (fixed),44.4194444444,8.9211111111,44,,Italy,6,Piero Serra,Operational,Unknown
GENOVA/SESTRI,0-20000-0-16120,16120,Land (fixed),44.4133333333,8.8375,4,,Italy,6,Piero Serra,Operational,Unknown
Gerecse tető,0-348-1-33605,33605,Land (fixed),47.67583,18.49333,619,,Hungary,6,HUN NMHS,Operational,Operational
GERSAU,0-20000-0-06653,06653,Land (fixed),46.996072,8.523433,521,,Switzerland,6,CHE NMHS ,Operational,Operational
GHADAMES,0-20000-0-62103,62103,Land (fixed),30.1108333333,9.4905555555,347,,Libya,1,Faraj M ZAYET,Operational,Operational
GHARDAIA,0-20000-0-60566,60566,Land (fixed),32.38638,3.78361,466,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
GHAT,0-20000-0-62212,62212,Land (fixed),25.1397222222,10.1511111111,699,,Libya,1,Faraj M ZAYET,Operational,Operational
GHAZAOUET,0-20000-0-60517,60517,Land (fixed),35.09807,-1.86335,20,,Algeria,1,Mohamed Mezred,Operational,Operational
GIBILMANNA,0-20000-0-16442,16442,Land (fixed),37.9908333333,14.0269444444,997,,Italy,6,,Operational,Operational
GIJÓN-CAMPUS,0-724-0-08014,08014,Land (fixed),43.5231,-5.6211,26,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
GIJON-MUSEL,0-20000-0-08014,08014,Land (fixed),43.56,-5.70056,5,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
GIOIA DEL COLLE,0-20000-0-16312,16312,Land (fixed),40.7661111111,16.9352777778,345,,Italy,6,Piero Serra,Operational,Operational
GIRONA/COSTA BRAVA,0-20000-0-08184,08184,Land (fixed),41.9116666667,2.7633333333,143,,Spain,6,,Operational,Operational
GISWIL,0-20000-0-06657,06657,Land (fixed),46.84945,8.190217,471,,Switzerland,6,CHE NMHS ,Operational,Operational
GJIROKASTRA,0-20000-0-13625,13625,Land (fixed),40.0833333333,20.15,193,,Albania,6,,Operational,Operational
GLARUS,0-20000-0-06685,06685,Land (fixed),47.034589,9.066953,516.62,,Switzerland,6,CHE NMHS ,Operational,Unknown
GOESCHENEN,0-20000-0-06668,06668,Land (fixed),46.692681,8.595356,950.3,,Switzerland,6,CHE NMHS ,Operational,Operational
GOESGEN,0-20000-0-06626,06626,Land (fixed),47.363144,7.973725,380,,Switzerland,6,CHE NMHS ,Operational,Operational
Goli Vrh,0-191-0-14238,14238,Land (fixed),45.6975,15.724444,166,,Croatia,6,HRV NMHS,Operational,Unknown
Gorice,0-191-0-14365,14365,Land (fixed),45.223611,17.278333,135,,Croatia,6,HRV NMHS,Operational,Operational
GORNERGRAT,0-20000-0-06749,06749,Land (fixed),45.983636,7.78575,3129,,Switzerland,6,CHE NMHS ,Operational,Operational
GOSPIC,0-20000-0-14330,14330,Land (fixed),44.5505555556,15.3730555556,564,,Croatia,6,Ines SRZIC,Operational,Operational
GOSTIVAR,0-807-0-13570,13570,Land (fixed),41.792222,20.900633,534,,"North Macedonia, Republic of",6,Aleksandar Karanfilovski,Operational,Operational
Goulmima,0-504-1-60193,60193,Land (fixed),31.688,-4.955,1022,,Morocco,1,MAR NMHS ,Operational,Operational
GOURDON,0-20000-0-07535,07535,Land (fixed),44.745,1.3966666667,260,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
GRADACAC,0-20000-0-14554,14554,Land (fixed),44.85914,18.441813,225,,Bosnia and Herzegovina,6,Mirza Tahmaz,Operational,Operational
GRADISTE,0-20000-0-14382,14382,Land (fixed),45.1591666667,18.7036111111,97,,Croatia,6,,Operational,Operational
GRAECHEN,0-20000-0-06728,06728,Land (fixed),46.195319,7.836828,1605,,Switzerland,6,CHE NMHS ,Operational,Unknown
GRANADA/AEROPUERTO,0-20000-0-08419,08419,Land (fixed),37.1897222222,-3.7894444444,567,,Spain,6,,Operational,Operational
GRANADA/BASE AEREA,0-20000-0-08420,08420,Land (fixed),37.1372222222,-3.6313888889,687,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
GRAZ UNIVERSITAET,0-20000-0-11290,11290,Land (fixed),47.0777777778,15.4488888889,366.7,,Austria,6,Silke Adler,Operational,Operational
GRAZ UNIVERSITAET/Heinrichstraße,0-40-0-11291,11291,Land (fixed),47.08,15.448056,366,,Austria,6,Silke Adler,Operational,Unknown
GRAZ-THALERHOF-FLUGHAFEN,0-20000-0-11240,11240,Land (fixed),46.9805555556,15.44,340,,Austria,6,Gregor Mitternast,Operational,Operational
GRAZ/STRASSGANG,0-20000-0-11238,11238,Land (fixed),47.0461111111,15.4102777778,356.5,,Austria,6,Silke Adler,Operational,Unknown
GRAZALEMA,0-724-0-0000000000008455,08455,Land (fixed),36.7604,-5.374,913,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
GRAZZANISE,0-20000-0-16253,16253,Land (fixed),41.0605555556,14.0788888889,9.19,,Italy,6,Piero Serra,Operational,Unknown
GRENCHEN,0-20000-0-06632,06632,Land (fixed),47.179094,7.415139,427.9,,Switzerland,6,CHE NMHS ,Operational,Operational
GRENOBLE-ST-GEOIRS,0-20000-0-07486,07486,Land (fixed),45.3638888889,5.3133333333,397,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
GREZES-RADAR,0-20000-0-07436,07436,Land (fixed),45.1044444444,1.3697222222,351,,France,6,,Operational,Operational
GRIMSEL HOSPIZ,0-20000-0-06744,06744,Land (fixed),46.571692,8.333253,1980,,Switzerland,6,Lucia Cappelletti,Operational,Operational
GROEBMING,0-20000-0-11359,11359,Land (fixed),47.4466667175,13.9041662216,765.5,,Austria,6,AUT NMHS,Operational,Operational
GRONO,0-20000-0-06758,06758,Land (fixed),46.255083,9.16375,323.52,,Switzerland,6,CHE NMHS ,Operational,Operational
GROSSETO,0-20000-0-16206,16206,Land (fixed),42.7480555556,11.0588888889,5.4,,Italy,6,Piero Serra,Operational,Operational
GROTTAGLIE,0-20000-0-16324,16324,Land (fixed),40.5172222222,17.3997222222,66,,Italy,6,,Operational,Partly operational
GUADALAJARA,0-20000-0-08226,08226,Land (fixed),40.6302777778,-3.15,721,,Spain,6,,Operational,Unknown
GUDJA,0-20000-0-16599,16599,Land (fixed),35.85,14.5,78,,Malta,6,,Operational,Operational
GUELMA,0-20000-0-60403,60403,Land (fixed),36.45641,7.47944,227,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
GUELMIN,0-20000-0-60280,60280,Land (fixed),29.0166666667,-10.05,300,,Morocco,1,MAR NMHS ,Operational,Operational
GÜEÑES,0-724-0-0000000000008035,08035,Land (fixed),43.2033,-3.1047,208,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
Guercif,0-504-1-60194,60194,Land (fixed),34.23861,-3.31361,372,,Morocco,1,MAR NMHS ,Operational,Operational
GUERET ST LAURENT,0-20000-0-07361,07361,Land (fixed),46.1755555556,1.9502777778,365,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
"GUETSCH, ANDERMATT",0-20000-0-06750,06750,Land (fixed),46.652436,8.615047,2283,,Switzerland,6,CHE NMHS ,Operational,Operational
GUETTINGEN,0-20000-0-06621,06621,Land (fixed),47.601736,9.279419,440.02,,Switzerland,6,CHE NMHS ,Operational,Operational
GUIDONIA (16233-0),0-20000-0-16233,16233,Land (fixed),41.9886111111,12.7375,89,,Italy,6,,Operational,Operational
GUIDONIA (16234-0),0-20000-0-16234,16234,Land (fixed),41.9966666667,12.7344444444,88.1,,Italy,6,Piero Serra,Operational,Operational
GURAHONT,0-20000-0-15182,15182,Land (fixed),46.2791917177,22.3333052054,177,,Romania,6,Ancuta MANEA,Operational,Unknown
Győr Egyetem,0-348-1-23714,23714,Land (fixed),47.69306,17.6275,124,,Hungary,6,Imre Szöllősi,Operational,Operational
HAERKINGEN,0-20000-0-06905,06905,Land (fixed),47.311864,7.820372,430.9,,Switzerland,6,CHE NMHS ,Operational,Unknown
HAHNENKAMM/EHRENBACHHOEHE,0-20000-0-11135,11135,Land (fixed),47.4183349609,12.359167099,1793.8,,Austria,6,AUT NMHS,Operational,Operational
Hajós,0-348-1-47505,47505,Land (fixed),46.39667,19.15111,91.8,,Hungary,6,HUN NMHS,Operational,Operational
HALLAU,0-20000-0-06624,06624,Land (fixed),47.697278,8.470458,419,,Switzerland,6,CHE NMHS ,Operational,Operational
Haouza,0-504-1-60268,60268,Land (fixed),27.16,-10.9166,235,,Morocco,1,Mounir Aziz,Operational,Operational
Hármashegy radarállomás,0-348-2-38221,38221,Land (fixed),46.1775,18.337222,604,,Hungary,6,Imre Szöllősi,Operational,Unknown
HARTBERG,0-20000-0-11390,11390,Land (fixed),47.280555725,15.9786109924,330,,Austria,6,Silke Adler,Operational,Operational
HASSI KHEBBI,0-20000-0-60593,60593,Land (fixed),29.1666666667,-5.2333333333,565,,Algeria,1,,Operational,Partly operational
HASSI-MESSAOUD,0-20000-0-60581,60581,Land (fixed),31.65861,6.14138,140,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
HASSIR'MEL,0-20000-0-60563,60563,Land (fixed),32.93416,3.30333,765,,Algeria,1,Madjid Aberkane,Operational,Operational
HELLÍN,0-724-0-0000000000008355,08355,Land (fixed),38.542,-1.703,646,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
HERCEG NOVI-IGALO,0-20000-0-13455,13455,Land (fixed),42.45,18.55,10,,Montenegro,6,,Operational,Operational
HERRERA DEL DUQUE,0-724-0-0000000000008264,08264,Land (fixed),39.1693,-5.0622,447,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
HINOJOSA DEL DUQUE,0-724-0-0000000000008335,08335,Land (fixed),38.4983,-5.1214,551,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
HIRSCHENKOGEL,0-20000-0-11384,11384,Land (fixed),47.6233329772,15.8333330154,1318,,Austria,6,Silke Adler,Operational,Unknown
HOCHFILZEN,0-20000-0-11339,11339,Land (fixed),47.4702777778,12.6211111111,961.9,,Austria,6,Silke Adler,Operational,Silent
